,doi,file,r32,r36,r40,result,success,publicationDate,publisher,subject,type,name
5063,doi:10.7910/DVN/ZFS7LI,Figure_A7.R,"Error in eval(expr, envir, enclos) : could not find function 'Dotplot'",success,,success,1,2016,bullock,Social Sciences,RESEARCHERS,John Bullock Dataverse
5064,doi:10.7910/DVN/ZFS7LI,Figure_A8.R,Error : could not find function 'betaHPD',success,,success,1,2016,bullock,Social Sciences,RESEARCHERS,John Bullock Dataverse
5065,doi:10.7910/DVN/ZFS7LI,Figure_A9.R,"Error in eval(expr, envir, enclos) : could not find function 'Dotplot'",success,,success,1,2016,bullock,Social Sciences,RESEARCHERS,John Bullock Dataverse
5067,doi:10.7910/DVN/ZFS7LI,Figures_3_A6.R,"Error in eval(expr, envir, enclos) : could not find function 'Dotplot'",success,,success,1,2016,bullock,Social Sciences,RESEARCHERS,John Bullock Dataverse
5069,doi:10.7910/DVN/ZFS7LI,Medicaid_2010_05_average_effects.R,success,success,,success,1,2016,bullock,Social Sciences,RESEARCHERS,John Bullock Dataverse
5073,doi:10.7910/DVN/QQYHQS,R-code_figures.R,Error in read.dta('fig1.dta') :   unable to open file: 'No such file or directory',Error in read.dta('fig1.dta') :   unable to open file: 'No such file or directory',Error in read.dta('fig1.dta') :   unable to open file: 'No such file or directory',Error in read.dta('fig1.dta') :   unable to open file: 'No such file or directory',0,2016,restat,Social Sciences,JOURNALS,Review of Economics and Statistics Dataverse
5074,doi:10.7910/DVN/QQYHQS,fine_grid.R,success,success,success,success,1,2016,restat,Social Sciences,JOURNALS,Review of Economics and Statistics Dataverse
5077,doi:10.7910/DVN/HXHL97,erc_popcli_analyses.R,Error in df$cliEco : object of type 'closure' is not subsettable,Error in df$cliEco : object of type 'closure' is not subsettable,Error in df$cliEco : object of type 'closure' is not subsettable,Error in df$cliEco : object of type 'closure' is not subsettable,0,2020,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
5078,doi:10.7910/DVN/HXHL97,erc_popcli_export.R,"Error in df[, varList] : object of type 'closure' is not subsettable","Error in df[, varList] : object of type 'closure' is not subsettable","Error in df[, varList] : object of type 'closure' is not subsettable","Error in df[, varList] : object of type 'closure' is not subsettable",0,2020,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
5079,doi:10.7910/DVN/HXHL97,erc_popcli_factors.R,"Error in eval(expr, envir, enclos) : could not find function 'nScree'","Error in nScree(df[complete.cases(df), fut_vars]) :   could not find function 'nScree'","Error in nScree(df[complete.cases(df), fut_vars]) :   could not find function 'nScree'","Error in nScree(df[complete.cases(df), fut_vars]) :   could not find function 'nScree'",0,2020,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
5081,doi:10.7910/DVN/HXHL97,erc_popcli_recode.R,success,success,,success,1,2020,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
5084,doi:10.7910/DVN/YQSBOA,panelView_function_local.R,success,success,success,success,1,2020,ajps,Social Sciences,JOURNALS,American Journal of Political Science (AJPS) Dataverse
5085,doi:10.7910/DVN/YQSBOA,r_replication.R,"Error in eval(expr, envir, enclos) : could not find function 'read.dta13'",Error in read.dta13('life_events_data.dta') :   could not find function 'read.dta13',Error in read.dta13('life_events_data.dta') :   could not find function 'read.dta13',Error in read.dta13('life_events_data.dta') :   could not find function 'read.dta13',0,2020,ajps,Social Sciences,JOURNALS,American Journal of Political Science (AJPS) Dataverse
5086,doi:10.7910/DVN/SOT2WM,CR_Figure1.R,"Error in pdf(file = 'C:/Users/mdr/Dropbox/Vanderbilt/Fall 2013/Project/Charter/ClintonRichardson Draft/Figures/eqm_plot.pdf',  :   cannot open file 'C:/Users/mdr/Dropbox/Vanderbilt/Fall 2013/Project/Charter/ClintonRichardson Draft/Figures/eqm_plot.pdf'","Error in pdf(file = 'C:/Users/mdr/Dropbox/Vanderbilt/Fall 2013/Project/Charter/ClintonRichardson Draft/Figures/eqm_plot.pdf',  :   cannot open file 'C:/Users/mdr/Dropbox/Vanderbilt/Fall 2013/Project/Charter/ClintonRichardson Draft/Figures/eqm_plot.pdf'","Error in pdf(file = 'C:/Users/mdr/Dropbox/Vanderbilt/Fall 2013/Project/Charter/ClintonRichardson Draft/Figures/eqm_plot.pdf',  :   cannot open file 'C:/Users/mdr/Dropbox/Vanderbilt/Fall 2013/Project/Charter/ClintonRichardson Draft/Figures/eqm_plot.pdf'","Error in pdf(file = 'C:/Users/mdr/Dropbox/Vanderbilt/Fall 2013/Project/Charter/ClintonRichardson Draft/Figures/eqm_plot.pdf',  :   cannot open file 'C:/Users/mdr/Dropbox/Vanderbilt/Fall 2013/Project/Charter/ClintonRichardson Draft/Figures/eqm_plot.pdf'",0,2018,JPublicPolicy,Social Sciences,JOURNALS,Journal of Public Policy Dataverse
5087,doi:10.7910/DVN/SOT2WM,CR_Figure2.R,"Error in eval(expr, envir, enclos) : could not find function 'read.dta13'","Error in read.dta13(file = 'C:/Users/MDR/Dropbox/Vanderbilt/Fall 2013/Project/Charter/ClintonRichardson Draft/jpp_replication/CRdata_jpp_final.dta',  :   could not find function 'read.dta13'","Error in read.dta13(file = 'C:/Users/MDR/Dropbox/Vanderbilt/Fall 2013/Project/Charter/ClintonRichardson Draft/jpp_replication/CRdata_jpp_final.dta',  :   could not find function 'read.dta13'","Error in read.dta13(file = 'C:/Users/MDR/Dropbox/Vanderbilt/Fall 2013/Project/Charter/ClintonRichardson Draft/jpp_replication/CRdata_jpp_final.dta',  :   could not find function 'read.dta13'",0,2018,JPublicPolicy,Social Sciences,JOURNALS,Journal of Public Policy Dataverse
5088,doi:10.7910/DVN/SOT2WM,RegsMonteCarloStudy_jpp.R,"Error in eval(expr, envir, enclos) :   could not find function 'detectCores'",Error in detectCores() : could not find function 'detectCores',Error in detectCores() : could not find function 'detectCores',Error in detectCores() : could not find function 'detectCores',0,2018,JPublicPolicy,Social Sciences,JOURNALS,Journal of Public Policy Dataverse
5089,doi:10.7910/DVN/DAPJMB,Beber_Blattman_LogicOfChildSoldiering_theory.R,success,success,success,success,1,2015,beber,Social Sciences,RESEARCHERS,Bernd Beber Dataverse
5091,doi:10.7910/DVN/QPESTS,read_large_speamo0430_unseeded.R,,success,success,success,1,2019,wBCRmosm,Earth and Environmental Sciences,RESEARCHERS,MOSM_LE
5092,doi:10.7910/DVN/XPRQWH,alliance_reputation_replication.R,"Error in eval(expr, envir, enclos) :   could not find function 'standardize'",Error in standardize(glm(alliance_gain ~ cum_vio_dum + majpow + democ_dum +  :   could not find function 'standardize',Error in standardize(glm(alliance_gain ~ cum_vio_dum + majpow + democ_dum +  :   could not find function 'standardize',Error in standardize(glm(alliance_gain ~ cum_vio_dum + majpow + democ_dum +  :   could not find function 'standardize',0,2016,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
5093,doi:10.7910/DVN/XPRQWH,plotReg.R,success,success,success,success,1,2016,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
5094,doi:10.7910/DVN/XPRQWH,table_graph_code.R,success,success,success,success,1,2016,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
5095,doi:10.7910/DVN/LI9CAY,01_Figure2.R,Error in read.dta('') : unable to open file: 'No such file or directory',Error in read.dta('') : unable to open file: 'No such file or directory',Error in read.dta('') : unable to open file: 'No such file or directory',Error in read.dta('') : unable to open file: 'No such file or directory',0,2016,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
5096,doi:10.7910/DVN/LI9CAY,02_Table1.R,Error in read.dta('') : unable to open file: 'No such file or directory',Error in read.dta('') : unable to open file: 'No such file or directory',Error in read.dta('') : unable to open file: 'No such file or directory',Error in read.dta('') : unable to open file: 'No such file or directory',0,2016,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
5097,doi:10.7910/DVN/LI9CAY,03_Appendix_Table1.R,Error in read.dta('') : unable to open file: 'No such file or directory',Error in read.dta('') : unable to open file: 'No such file or directory',Error in read.dta('') : unable to open file: 'No such file or directory',Error in read.dta('') : unable to open file: 'No such file or directory',0,2016,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
5098,doi:10.7910/DVN/LI9CAY,04_Appendix_Figure1.R,Error in read.dta('') : unable to open file: 'No such file or directory',Error in read.dta('') : unable to open file: 'No such file or directory',Error in read.dta('') : unable to open file: 'No such file or directory',Error in read.dta('') : unable to open file: 'No such file or directory',0,2016,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
5099,doi:10.7910/DVN/LI9CAY,05_Appendix_Table2.R,Error in read.dta('') : unable to open file: 'No such file or directory',Error in read.dta('') : unable to open file: 'No such file or directory',Error in read.dta('') : unable to open file: 'No such file or directory',Error in read.dta('') : unable to open file: 'No such file or directory',0,2016,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
5100,doi:10.7910/DVN/XWAT9E,helperFunctions.R,success,success,success,success,1,2016,tomlouwerse,Social Sciences,RESEARCHERS,Tom Louwerse Dataverse
5102,doi:10.7910/DVN/XWAT9E,prepareData.R,success,Error in makeRestartList(...) : reached elapsed time limit,,success,1,2016,tomlouwerse,Social Sciences,RESEARCHERS,Tom Louwerse Dataverse
5106,doi:10.7910/DVN/TQYWJR,10_claims_createdata.R,"Error in eval(expr, envir, enclos) : could not find function 'import'",Error in import('Sources/ICOWclaimdy.dta') :   could not find function 'import',Error in import('Sources/ICOWclaimdy.dta') :   could not find function 'import',Error in import('Sources/ICOWclaimdy.dta') :   could not find function 'import',0,2018,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
5110,doi:10.7910/DVN/N1DE4Q,multiple imputation replication.R,Error in read.dta(file) :   unable to open file: 'No such file or directory',Error in read.dta(file) :   unable to open file: 'No such file or directory',Error in read.dta(file) :   unable to open file: 'No such file or directory',Error in read.dta(file) :   unable to open file: 'No such file or directory',0,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
5111,doi:10.7910/DVN/WJ9T9R,BayesianModels.R,Error in read.dta('termlimitinititation.dta') :   unable to open file: 'No such file or directory',Error in read.dta('termlimitinititation.dta') :   unable to open file: 'No such file or directory',Error in read.dta('termlimitinititation.dta') :   unable to open file: 'No such file or directory',Error in read.dta('termlimitinititation.dta') :   unable to open file: 'No such file or directory',0,2016,pierskalla,Social Sciences,RESEARCHERS,Jan Pierskalla Dataverse
5112,doi:10.7910/DVN/OEM7DW,Graphs_bayesian_social_policies.R,success,success,success,success,1,2019,BJPolS,Social Sciences,JOURNALS,British Journal of Political Science Dataverse
5113,doi:10.7910/DVN/OEM7DW,Graphs_bayesian_specific_policies.R,success,success,success,success,1,2019,BJPolS,Social Sciences,JOURNALS,British Journal of Political Science Dataverse
5117,doi:10.7910/DVN/7190MT,FinalCodeCCES.R,"Error in eval(expr, envir, enclos) : could not find function 'lowerCor'","Error in recode(modeldata$PartyID, 'c(1,2,3)=1; else=0') :   could not find function 'recode'",Error in makeRestartList(...) : reached elapsed time limit,"Error in recode(modeldata$PartyID, 'c(1,2,3)=1; else=0') :   could not find function 'recode'",0,2018,ajps,Social Sciences,JOURNALS,American Journal of Political Science (AJPS) Dataverse
5120,doi:10.7910/DVN/3IWTGB,Figure1b.R,success,success,success,success,1,2018,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
5121,doi:10.7910/DVN/3IWTGB,Figure2.R,Error in read.dta('parallelmuni.dta') :   unable to open file: 'No such file or directory',Error in read.dta('parallelmuni.dta') :   unable to open file: 'No such file or directory',Error in read.dta('parallelmuni.dta') :   unable to open file: 'No such file or directory',Error in read.dta('parallelmuni.dta') :   unable to open file: 'No such file or directory',0,2018,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
5122,doi:10.7910/DVN/3IWTGB,Figure3.R,Error in read.dta('datamuni.dta') :   unable to open file: 'No such file or directory',Error in read.dta('datamuni.dta') :   unable to open file: 'No such file or directory',Error in read.dta('datamuni.dta') :   unable to open file: 'No such file or directory',Error in read.dta('datamuni.dta') :   unable to open file: 'No such file or directory',0,2018,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
5123,doi:10.7910/DVN/3IWTGB,Figure4.R,Error in read.dta('datamuni.dta') :   unable to open file: 'No such file or directory',Error in read.dta('datamuni.dta') :   unable to open file: 'No such file or directory',Error in read.dta('datamuni.dta') :   unable to open file: 'No such file or directory',Error in read.dta('datamuni.dta') :   unable to open file: 'No such file or directory',0,2018,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
5124,doi:10.7910/DVN/3IWTGB,FigureS1.R,Error in read.dta('notopcoding.dta') :   unable to open file: 'No such file or directory',Error in read.dta('notopcoding.dta') :   unable to open file: 'No such file or directory',Error in read.dta('notopcoding.dta') :   unable to open file: 'No such file or directory',Error in read.dta('notopcoding.dta') :   unable to open file: 'No such file or directory',0,2018,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
5125,doi:10.7910/DVN/3IWTGB,FigureS3.R,Error in read.dta('treffresults.dta') :   unable to open file: 'No such file or directory',Error in read.dta('treffresults.dta') :   unable to open file: 'No such file or directory',Error in read.dta('treffresults.dta') :   unable to open file: 'No such file or directory',Error in read.dta('treffresults.dta') :   unable to open file: 'No such file or directory',0,2018,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
5126,doi:10.7910/DVN/3IWTGB,FigureS4.R,Error in read.dta('itt.dta') :   unable to open file: 'No such file or directory',Error in read.dta('itt.dta') :   unable to open file: 'No such file or directory',Error in read.dta('itt.dta') :   unable to open file: 'No such file or directory',Error in read.dta('itt.dta') :   unable to open file: 'No such file or directory',0,2018,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
5127,doi:10.7910/DVN/3IWTGB,FigureS7.R,Error in read.dta('distall.dta') :   unable to open file: 'No such file or directory',Error in read.dta('distall.dta') :   unable to open file: 'No such file or directory',Error in read.dta('distall.dta') :   unable to open file: 'No such file or directory',Error in read.dta('distall.dta') :   unable to open file: 'No such file or directory',0,2018,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
5128,doi:10.7910/DVN/3IWTGB,FigureS8.R,Error in read.dta('datamuni.dta') :   unable to open file: 'No such file or directory',Error in read.dta('datamuni.dta') :   unable to open file: 'No such file or directory',Error in read.dta('datamuni.dta') :   unable to open file: 'No such file or directory',Error in read.dta('datamuni.dta') :   unable to open file: 'No such file or directory',0,2018,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
5129,doi:10.7910/DVN/3IWTGB,FiguresS5andS6.R,Error in read.dta('partrends1.dta') :   unable to open file: 'No such file or directory',Error in read.dta('partrends1.dta') :   unable to open file: 'No such file or directory',Error in read.dta('partrends1.dta') :   unable to open file: 'No such file or directory',Error in read.dta('partrends1.dta') :   unable to open file: 'No such file or directory',0,2018,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
